ID,Landuse2009,D_station,D_Road,D_River,D_Open,Pop_density,DEM,Slope,Entropy,Landvalue,Area,Zone,Results,Landuse2014
14013,3,228.462,36.9531,416.105,347.644,8362.78,20.0673,0.686914,0.690042,11723717.02,1017.39994,2,1,3
14014,2,305.064,199.919,695.739,321.215,4308.1,11.6207,4.12245,0.549918,9381812.603,898.1758511,2,1,2
14015,2,227.644,86.1864,320.718,178.958,6181.86,12.8734,5.08986,0.710868,10436835.97,2127.41519,2,1,2
14016,2,243.607,86.2016,351.66,198.558,6181.86,12.5058,5.25107,0.684832,10646608.22,1467.783638,2,1,2
14017,2,432.019,144.776,555.686,270.136,4883.75,10.1739,2.7414,0.643351,8811185.568,829.6491893,2,1,2
14018,2,436.127,98.9698,457.358,181.071,6470.84,6.37011,3.71029,0.613619,8509275.696,1164.173405,2,1,2
14019,3,596.837,82.3954,475.58,105.472,5616.55,9.8214,6.65452,0.595068,9352612.032,1165.095493,2,1,3
14020,3,471.192,36.5196,341.317,70.9394,6470.84,15.536,5.91043,0.644429,10975965.48,1144.356789,2,1,3
14021,3,594.803,172.798,205.497,194.914,7980.7,21.4414,4.30004,0.657649,10436868.4,1153.213635,2,1,3
14022,2,558.686,36.475,312.33,140.922,5616.55,24.9751,5.04808,0.630783,8828861.262,1121.851399,2,1,2
14023,2,639.152,35.1445,355.005,141.264,9570.62,26.1894,3.33114,0.643188,11890359.05,1039.379928,2,1,2
14024,2,665.924,53.8413,358.286,137.421,9570.62,24.1679,4.45126,0.630309,11826574.52,910.5582584,2,1,2
14025,2,698.995,173.482,261.472,250.119,7980.7,18.0075,4.47465,0.56786,11687080.74,1519.102471,2,1,2
14026,2,122.845,32.4495,159.64,144.647,5126.11,3.37282,1.00282,0.503661,11156082.07,862.8833695,3,1,2
14027,2,937.858,95.4172,386.563,153.601,4840.01,12.097,2.83403,0.688098,10045520.45,612.739534,2,1,2
14028,2,657.798,24.7643,35.3557,13.8497,2299.3,5.66925,4.64933,0.774163,19643201.58,894.1429343,3,1,2
14029,2,709.418,25.4873,34.2171,13.8156,2299.3,5.43921,6.57297,0.847864,19125723.69,886.0800693,3,1,2
14030,2,1091.98,94.5861,395.138,45.4015,4840.01,2.12229,0.513708,0.770774,8782538.437,762.2855178,2,1,2
14031,2,1162.5,122.052,281.973,57.5903,7194.4,2.2722,0.843573,0.761271,6620072.137,1023.623615,1,1,2
14032,2,1145.31,152.237,345.011,46.6034,7194.4,2.21363,0.826574,0.765225,7779195.072,1024.735868,1,1,2
14033,3,998.686,174.336,49.1634,108.669,19858.6,5.16471,3.83974,0.668784,10470889.97,7378.830936,3,1,3
14034,3,1127.02,231.023,53.0058,47.6938,6953.03,13.4423,8.75359,0.67004,16839871.92,6927.67282,3,1,3
14035,2,782.319,225.776,202.402,198.973,7980.7,12.276,3.38563,0.59225,9211220.188,1605.283378,2,1,2
14036,2,1115.32,70.3777,536.05,96.1219,9551.6,2.15376,0.79891,0.682579,10432992.42,1015.265485,2,1,2
14037,2,1169.95,125.926,462.579,45.4659,9551.6,2.7372,1.55105,0.698034,9689492.228,2031.071264,3,1,2
14038,3,1165.34,60.8651,529.826,45.5064,9551.6,2.14424,0.935294,0.68773,9810770.157,1021.628562,3,1,3
14039,2,927.993,32.0991,294.18,108.831,3469.06,11.1176,1.35769,0.752825,6247401.302,1177.360555,3,1,2
14040,1,506.854,59.8644,684.845,129.854,3688.5,7.60454,3.96443,0.826306,7461364.493,472.1249809,1,1,1
14041,1,531.769,62.3651,710.414,127.302,3688.5,6.45294,0.673184,0.801701,8017937.667,408.0037662,1,1,1
14042,1,424.169,58.5876,664.395,65.5443,3688.5,8.56178,2.9991,0.8166,6167724.457,691.0642342,1,1,1
14043,1,471.672,31.3239,739.764,38.5229,3688.5,5.96789,1.52117,0.803098,6127086.237,2237.925141,3,1,1
14044,1,742.243,126.196,492.686,152.75,3888.73,3.08308,1.6097,0.620701,10215788.27,285.9339362,2,1,1
14045,1,443.446,81.7948,574.756,104.409,3692.86,29.0182,4.90569,0.639609,9775126.828,1014.805149,1,1,1
14046,1,461.473,81.7982,586.363,114.237,3692.86,27.9067,3.95082,0.670244,8494034.344,761.1431765,1,1,1
14047,1,475.108,81.801,596.313,124.05,3692.86,26.4861,5.74693,0.688651,8473802.167,761.1118658,1,1,1
14048,1,488.831,82.5409,603.968,132.4,3692.86,25.3486,5.27856,0.668307,8253249.211,491.0578636,1,1,1
14049,1,505.107,84.8249,610.621,140.591,3692.86,24.4425,3.96706,0.678978,8326511.853,223.2535147,1,1,1
14050,1,509.702,84.8253,615.597,146.59,3692.86,23.9366,3.70048,0.677574,9174718.76,446.5471837,1,1,1
14051,1,518.919,84.8281,622.229,154.802,3692.86,23.1949,4.54955,0.663581,9771470.008,446.507781,1,1,1
14052,1,528.167,84.829,628.863,163.225,3692.86,22.4968,3.75612,0.691948,10367998.44,446.5240026,1,1,1
14053,1,537.446,84.8316,635.495,171.827,3692.86,21.7853,4.52087,0.666373,10293172.85,446.5573359,1,1,1
14054,1,556.089,84.8353,648.761,189.471,3692.86,20.4599,3.53909,0.666406,10293464.63,446.4930178,1,1,1
14055,1,565.448,76.7136,655.394,198.475,3692.86,19.9105,2.89765,0.608841,10211849.36,446.5557517,1,1,1
14056,1,572.964,65.6021,662.699,208.506,3692.86,19.5052,3.30969,0.674399,10170483.82,536.9718699,1,1,1
14057,1,530.341,31.4118,695.05,245.069,3692.86,18.5454,4.19401,0.629833,10288525.56,404.6684199,2,1,1
14058,5,526.198,31.4403,702.627,249.363,3692.86,18.9713,3.5588,0.660668,10707605.99,404.6821024,2,1,1
14059,5,516.553,31.3017,705.807,260.993,3692.86,19.6299,2.66552,0.629062,10719541.82,480.6579997,2,1,1
14060,1,512.125,25.2507,704.025,267.53,3692.86,19.623,3.36312,0.636141,11012605.54,505.8917809,2,1,1
14061,1,547.093,31.5286,695.549,227.06,3692.86,20.6731,1.9204,0.665596,10308627.8,507.4497062,1,1,1
14062,1,537.415,31.5266,688.917,219.234,3692.86,20.9895,2.56179,0.626354,10436957.41,507.3640273,1,1,1
14063,1,527.751,31.5251,682.284,211.601,3692.86,21.3706,2.7593,0.620345,10437532.44,507.3922227,1,1,1
